證券代碼,年月,每股盈餘,ROE(A)－稅後,ROA(A)稅後息前,負債比率,營業毛利率,營業利益率,稅前淨利率,稅後淨利率
2007 燁興,201303,-0.26,-3,-0.91,60.42,-2.44,-5.82,-9.09,-9.58
2008 高興昌,201303,1.45,120.82,9.34,88.38,-34.09,-43.65,229.5,227.01
2009 第一銅,201303,0.05,0.39,0.32,27.45,0.74,-1.15,1.79,1.98
2010 春源,201303,0.15,0.86,0.58,39.84,6.33,1.7,2.43,2.05
2012 春雨,201303,0.14,1.28,0.67,62.58,16.27,2.4,4.35,2.72
2013 中鋼構,201303,0.71,3.03,1.11,65.66,4.74,2.55,3.48,2.92
2014 中鴻,201303,0.28,4.51,1.34,73.32,6.48,3.56,3.38,3.35
2015 豐興,201303,0.72,2.6,2.09,18.52,8.32,6.05,6.55,5.49
2017 官田鋼,201303,0.13,1.12,0.82,36.24,9.24,3.9,3.5,3.47
2020 美亞,201303,0.3,2.27,1.38,44.39,12.54,7.18,7.98,6.78
2022 聚亨,201303,0.35,3.34,1.85,49.87,1.45,-2.94,2.53,7.81
2023 燁輝,201303,0.24,1.03,0.75,55.87,6.92,2.64,2.62,2.28
2024 志聯,201303,0.08,0.67,0.56,51.91,9.52,3.17,1.61,1.61
2025 千興,201303,-0.29,-4.18,-2.62,35.75,-4.57,-6.54,-7.97,-7.97
2027 大成鋼,201303,0.18,1.03,0.71,65.14,11.83,1.68,1.98,1.36
2028 威致,201303,-0.17,-2,-0.39,70.51,1.92,-0.58,-1.91,-1.91
2029 盛餘,201303,0.58,2.44,1.96,19.26,11.49,5.65,6.04,4.99
2030 彰源,201303,0.14,1.2,0.62,72.01,8.4,2.37,1.46,1.08
2031 新光鋼,201303,0.52,2.69,1.29,59.7,9.31,10.51,6.82,5.86
2032 新鋼,201303,0.2,1.58,1.18,24.7,5.93,2.81,3.46,2.94
2033 佳大,201303,0,0.03,0.08,29.12,8.25,-0.95,0.13,0.12
2034 允強,201303,0.53,3,1.83,42.4,7.55,3.48,4.1,3.6
2038 海光,201303,0.06,0.35,0.29,61.36,2.73,1.01,0.46,0.39
